Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\H17R0\Project Outputs for H17R0\Pick Place for H17R0.txt

========================================================================================================================
File Design Information:

Date:       26/11/25
Time:       11:13
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                    Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                                       
J2         "PWR INPUT"                TopLayer    PHOE-1725656-2             352.249       -362.399      270      "Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 9 mm, Tail Length 3.5 mm"                                     
R24        330k                       TopLayer    FP-ESR03-IPC_C             -201.752      -271.300      270      "330kO ±5% 0.25W 0603 Anti-Surge Chip Resistor AEC-Q200"                                                          
R23        10k                        TopLayer    FP-CRGCQ0603-IPC_C         -299.408      -273.320      90       "CRGCQ 0603 10K 5%"                                                                                               
R22        10k                        TopLayer    FP-CRGCQ0603-IPC_C         -118.239      -272.208      90       "CRGCQ 0603 10K 5%"                                                                                               
R21        10k                        TopLayer    FP-CRGCQ0603-IPC_C         -683.062      395.732       90       "CRGCQ 0603 10K 5%"                                                                                               
R20        10k                        TopLayer    FP-CRGCQ0603-IPC_C         -583.882      397.452       90       "CRGCQ 0603 10K 5%"                                                                                               
R19        10k                        TopLayer    FP-CRGCQ0603-IPC_C         -264.910      329.498       0        "CRGCQ 0603 10K 5%"                                                                                               
R18        10k                        TopLayer    FP-CRGCQ0603-IPC_C         -263.858      246.417       0        "CRGCQ 0603 10K 5%"                                                                                               
R17        10k                        TopLayer    FP-CRGCQ0603-IPC_C         -1002.226     -56.579       0        "CRGCQ 0603 10K 5%"                                                                                               
R16        10k                        TopLayer    FP-CRGCQ0603-IPC_C         -1006.232     28.219        0        "CRGCQ 0603 10K 5%"                                                                                               
R15        10k                        TopLayer    FP-CRGCQ0603-IPC_C         334.687       402.232       0        "CRGCQ 0603 10K 5%"                                                                                               
R12        47k                        TopLayer    FP-ESR03-IPC_C             164.106       178.830       0        "47kO ±5% 0.25W 0603 Anti-Surge Chip Resistor AEC-Q200"                                                           
